topic,student_id,writing_id,group,is_cii,cor_sent,cor_if_head,cor_if_head_lemma,cor_main_head,cor_main_aux
46,64583,217544,lower,True,"If I were you, I would do other activities.",were,be,do,would
46,156801,68019,lower,True,If I were you I would see a doctor or look for a group to exchange ideas and probably it will help to keep you calm and away from stores around.,were,be,see,would
46,145226,806523,lower,True,If I had time of course I could play more.,had,have,play,could
59,33434,1008775,lower,True,"If I had more money, I'd realize all of my dreams earlier, but we have what we have.",had,have,realize,'d
59,26034,1011491,lower,True,Life would be easier if I earned more money.,earned,earn,be,
59,70796,1018382,lower,True,"Now, I regret a lot, If I studied more maths during high school and were a great student, I would have chance to go to the college in these careers.",studied,study,regret,
59,166402,10189,lower,True,"If I won the lottery, I would donate money to the non-profit organizations.",won,win,donate,would
59,56255,1020152,lower,True,"If I had to think about myself in ten years, I would probably be a writer of art essays.%%",had,have,had,
59,81868,102205,lower,True,"If I retired, I'd go to my hometown and plant a lot of plants.",retired,retire,go,'d
59,36797,1026155,lower,True,"If I were 18 or 20, I would be applying for a college or a job.",were,be,applying,would
59,7915,103336,lower,True,"If I won the lottery, I would quit my job.",won,win,quit,would
59,7915,103336,lower,True,"If all my dreams came true, I would be the happiest person in the world.",came,come,came,
59,123860,1055133,lower,True,"This is still a dream, but if we were not able to dream, things would never come true for us.",were,be,is,
59,100236,1060707,lower,True,Brazil is a country which offers many opportunities and my life would be easier if I earned more money there.,earned,earn,is,
59,66172,10665,lower,True,It'd be wonderful if I got rich too .,got,get,be,
59,110560,106713,lower,True,"If I had some extra money, I would travel a lot.",had,have,travel,would
59,110560,106713,lower,True,"If I had more money, I would help my family.",had,have,help,would
59,19867,108646,lower,True,"If I did win the lottery I would like to travel a lot, because bydoing this I would learn a lot about diferent cultures.",did,do,like,would
59,68887,1099774,lower,True,"If I was a tour guide, I could make money.",was,be,make,could
59,39595,1106018,lower,True,"If I worked in a travel agency, it would be very helpful.",worked,work,worked,
59,43556,1115239,lower,True,"I think that if I were a teacher, I would be happier.",were,be,think,
59,131573,1116307,lower,True,"If I had a chance, I'd move to our foreign office for two years or more to take some international experiences and learn more about another country.",had,have,move,'d
59,141395,1124759,lower,True,"If I had the degree, I might be the president.",had,have,had,
59,141395,1124759,lower,True,"If I had enough finance, I could open my own elementary school.",had,have,open,could
59,83222,1130242,lower,True,"If I didn't trust my abilities, I wouldn't be so optimist.",trust,trust,trust,did
59,87938,1135609,lower,True,"If I had the chance, I would like to study engineering management to brush up my knowledge.%%",had,have,like,would
59,10021,1142295,lower,True,"Although I intend to help needy people, if I had my own Hospital I could help much more people.",had,have,help,could
59,156836,1153741,lower,True,I have the chance to discover and complete my degrees with an experience that I'd never have if I were worked in another firm.,worked,work,have,
59,162003,116571,lower,True,"If I was omnipotent, I would do following in my life: have a romantic love affair, get a strong body, travel aroundthe world, dive in the ocean, drive a fire balloon, ski in the Swiss Alps, live on an island orinthe forest, become a photographer, to be a language genius, rid the world of world of hunger and pollution, have a warm family and a good job.",was,be,do,would
59,162843,116807,lower,True,"If I had a lot of money, I'd buy a big house and let my parents come to live with us.",had,have,buy,'d
59,162843,116807,lower,True,"If I won a lottery, I'd buy a diamond necklace for my wife.",won,win,buy,'d
59,162843,116807,lower,True,"If I had a lot of time, I'd travel around world with my family and friends.",had,have,travel,'d
59,150833,1194448,lower,True,If it were possible I would like to wish for everyone only one thing: 'Do a job you like'.,were,be,like,would
59,131639,121302,lower,True,"4 - If I opened my own business, I would make a green conscientious enterprise.",opened,open,make,would
59,79355,123295,lower,True,"If I won the lottery, I would buy a new house and car.",won,win,buy,would
59,79355,123295,lower,True,"If I got more money, I'd travel around China with my husband, and Iwould send my child to agood colleage.",got,get,travel,'d
59,171236,124893,lower,True,"Its not so easy to reach all of it, but if I won the lottery, I would do all of this.",won,win,s,
59,11110,130051,lower,True,"In my life, if I had the opportunity, I would like to travel extensively in all thecountries of the world, meet new friends, have new experiences, visit new places.",had,have,like,would
59,142285,130835,lower,True,"If I had money, I'd visit Italy, Greece, Egypt and other countries.",had,have,visit,'d
59,70746,131738,lower,True,"My job is very interesting, but if I had enough money I'd like to be a farmer.",had,have,is,
59,70746,131738,lower,True,"I love the mountains, if I had time and money, I'd like to climb one of the highest mountains in the world.",had,have,love,
59,169933,139560,lower,True,"If I were a doctor, my father would not die so earlier.",were,be,die,would
59,169933,139560,lower,True,"If I were rich, I think my first girlfriend wouldn't leave me and my wife wouldn't dislike me, so I should try my best to achieve this goal.",were,be,think,
59,58777,141952,lower,True,Then if I got my bachelor's degree here in my country I'd like to study in another country.,got,get,like,'d
59,58777,141952,lower,True,"If everything got right, I'd like to have a house on the beach in a breathtaking view!",got,get,like,'d
59,110233,147572,lower,True,"If I had enough money, I would travel around the world to meet different people andsee new places.",had,have,travel,would
59,110233,147572,lower,True,"If I had more time to spend , I would practice more sports, maybe radical sportslike alpinism or parachute jumping.",had,have,practice,would
59,101858,148318,lower,True,"If I won the lottery, I would take a long vacation with my family.",won,win,take,would
59,63128,162874,lower,True,"If I won a million Euro (better 2 or 3 :)), I would start to travel.",won,win,start,would
59,81462,165271,lower,True,"If I was superwoman, I would fly everywhere and see the whole world.",was,be,fly,would
59,81462,165271,lower,True,"If I won the lottery, I would buy a new house.",won,win,buy,would
59,81131,171621,lower,True,"If I were rich, my life would change completely and I would move to America.",were,be,change,would
59,81131,171621,lower,True,I would buy a huge house by the beach; if I found a nice one.,found,find,buy,would
59,81131,171621,lower,True,"If I owned a beautiful house, I would invite all my friends and family.",owned,own,invite,would
59,81131,171621,lower,True,I would pick my friends up in my yacht if they wanted to spend their holidays at my house.,wanted,want,pick,would
